target,text
1,"Your A/c No xxxx1780 debited by Rs.150.00 on 26-JAN-2022 with UPI RRN:202634368140. A/c Bal is Rs. 29,344.15 CR and AVL Bal is Rs. 29,226.15 CR-MAHABANK"
0,"Insurance Agent ya Contract Killer? Janiye Bob Biswas ka asli sach ZEEPLEX par 9baje. Rs99 me show book karein,DishTV RMN se 18003157208 pe MissedCall dein TnC"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 682.26 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"90% daily data quota used as on 26-Jan-22 23:00.
Jio Number : 9834812916
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 2 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 130.06 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"Hey RAJ THAKARE,
Your 50% Discount worth Rs.50 is expiring soon! Join KAR vs MUL before 8:30pm and win big. Tap here to play - dream11.com/leagues
- Dream11"
0,"Dear Customer, +918080144362 is now available to take calls."
0,"ANGEL BROKING at EOD 11/12/2021 reported your Fund bal Rs 0.000 & Securities bal 0. This excludes your Bank, DP and PMS bal with the broker-BSE"
0,"BANKNIFTY/OPTION

MONDAY WE HAVE SURE NEWS IN 
BANKNIFTY T-RADE WITH US & GET
EVERY T-RADE 55000 PROFIT 

CALL ON =9054765677"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 740.59 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"Balance for Jio Number 9834812916: 1) Rs 299-1M-2GB/D Plan: 
Data: 525.43 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 10 Feb 2022, 12:06 PM
2) Top-Up Balance: Rs.4.65 For more details, click https://www.jio.com/dl/dashboard_home
For anything related to Jio, use HelloJio - your 24X7 virtual assistant.
Click https://www.jio.com/ask_jio"
0,"50% ALERT: for your daily Data usage. Recharge with 118 get 12GB, validity as per the current pack. Click i.airtel.in/Rcharge"
0,Congrats! You have successfully registered with SonyLIV from your mobile no. 9834812916. Let the binging begin! - SonyLIV
0,"Your Stock broker . reported your fund balance Rs.0 & securities balance 0 as on end of 08-jan-2022. Balances do not cover your bank, DP & PMS balance with broking entity. Check details at RAJTHAKARE237@GMAIL.COM. If email Id not correct, kindly update with your broker - National Stock Exchange"
0,Vote for the best marching contingent and tableau this Republic Day. Register and vote at www.mygov.in/rd2022 Express yourself!
0,"Dear Raj Gajanan Thakare, You have successfully applied for Post Matric Scholarship to OBC Students Scheme Your Application ID is 2122VJO1002735693 MAHGOV"
0,"Dr Vivek Bindra ka Special Offer, Specially Aapke liye.
Judiye IBC Banke aur paaiye LTM ke sath Smart Tab Free.

Offer Ending Now.

Call Now: 9810544443  2ni"
0,"UP TO 70% OFF on Home Appliances |  Water Purifiers, Irons & more. 

Shop at Flipkart's Electronic Sale
http://fkrt.it/jlGMTZuuuN"
0,"Dear
TOMORROW WORK IN BANKNIFTY OPTION 100 TO 333 POINTS TRG 110% SURE CALL https://api.whatsapp.com/send?phone=+919081041519&text=INR
AVGMotors"
0,Jevan karale bolval
0,"Dear Customer, use your debit card on Mahabank ATM to avoid inter-bank transaction charges. Locate nearby Mahabank ATM using following link: https://app.mapmyindia.com/bom - MAHABANK.-MAHABANK"
1,"Your A/c No xxxx1780 has been debited by Rs. 1,500.00 on 02-FEB-2022 via 00306031/652155XXXXXX7756/203312012944. A/c No xxxx1780 Bal is Rs. 24,044.15 CR and AVL Bal is Rs. 23,926.15-MAHABANK"
0,"Dear 98348129XX, Open Digital Savings A/c by Axis Bank in just Rs.590 & fund later. Get upto 15% cashback on Flipkart & Amazon. Click http://p2x.in/ufKt2K TIS"
0,"Dear
GOOD WORK IN MARKET  INEVST ONLY 36k GET DAILY 8TO10% WITHOUT ANY RISK
https://api.whatsapp.com/send?phone=918155915967&text=INR
AVGMotors"
1,"Your A/c No xxxx1780 debited by Rs.4,400.00 on 01-MAR-2022 with UPI RRN:206087041242. A/c Bal is Rs. 17,944.15 CR and AVL Bal is Rs. 17,826.15 CR-MAHABANK"
0,Dekhien romanchak nayi blockbuster film 420 IPC aaj raat 9baje sirf Rs.99 mein Zeeplex par. Booking ke liye 18003157208 par DishTV RMN se missed call dein. TnC
0,"Dear 98348126, 8850 Bonus! Holi finale on Junglee Rummy! Prize Pool:  15,00,00,000 ( 15CR ) Entry Fees -  Win Now http://1kx.in/Xya14doT129"
0,"Recharge of Rs INR99.00 is successful for your Airtel Mobile on 17-03-2022 10:15, Transaction ID 460450872.For your balance, validity, tariff &amp; best recharges, dial *121*51#"
1,"Your A/c No xxxx1780 debited by Rs.618.62 on 16-MAR-2022 with UPI RRN:207595764697. A/c Bal is Rs. 16,465.53 CR and AVL Bal is Rs. 16,347.53 CR-MAHABANK"
0,Enjoy talktime of Rs 99 at 1p/sec local & STD calls with 200 MB data. Pack valid for 28 days.
0,"Dear Sir/Madam, Your UserName for DBT portal is :- rajthakre"
0,Dekhien romanchak nayi blockbuster film 420 IPC aaj raat 9baje sirf Rs.99 mein Zeeplex par. Booking ke liye 18003157208 par DishTV RMN se missed call dein. TnC
1,"Rs. 99.00 was spent on your ATM Card No. ending XXXX7756 AMAZONon 17-MAR-2022. A/c No xx1780 Bal is Rs. 16,366.53 CR and AVL Bal is Rs. 16,248.53-MAHABANK"
0,"Dear,NEED SECOND SOURCE OF INCOME? WITH AUTOBOT INTELLIGENCE GAIN RISKFREE PROFIT OF 5% to 7% DAILY, FOR MORE cutt.ly/GPYGTmd  9552359748 ADVIT"
0,Un kami zalya var nigjo 
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.70 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"Mega Contest at Rs.1 in Chennai vs Kolkata T20!

Offer valid for 1 hour only on My11Circle!

Click to Play: bit.ly/Mega_Rs1"
0,"For cricket lovers like you!
Watch India's first live 5G hologram of Kapil Dev on Airtel. The future of sports on our 5G ready network
youtu.be/9DFe9Fk3pUY"
0,"Payu Payments Pvt Ltd has requested money from you on your Amazon app. On approving the request, INR 100.00 will be debited from your A/c – Axis Bank"
0,Dekhien romanchak nayi blockbuster film 420 IPC aaj raat 9baje sirf Rs.99 mein Zeeplex par. Booking ke liye 18003157208 par DishTV RMN se missed call dein. TnC
0,"Hey Champ. FLAT 50% OFF on Mega Contests this TATA IPL, 3 MERCEDES and MORE guaranteed rewards! Join The Dream Sale NOW https://www.dream11.com - Dream11"
0,"Hi 98348126, KOL vs CHN T20 Match on MY11circle
Prize Pool - 3,80,00,000 (3.8CR)
Entry Fees - 49
Win Now - http://1kx.in/Xrq8JQXHlRg"
1,"Your A/c No xx1780 debited by Rs.1,000.00 on 26-MAR-2022 with UPI RRN:208565048838. A/c Bal is Rs. 15,366.53 CR and AVL Bal is Rs. 15,248.53 CR-MAHABANK"
0,"Win Rs.1.51 Crore 1st Prize on My11Circle !! 

Entry Fee: Rs.1 | Offer valid for 1 Hour Only !!

Click to Play: bit.ly/EfeeRs1"
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.19 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"Receive Rs.1500* Bonus



MUM vs DEL T20 MATCH TODAY



Download MY11CIRCLE App



Win Real Cash w2d.me/14b157q"
0,"Hi 98348129XX, 
PUN vs BAN T20 Match on MY11circle
Prize Pool - 3,80,00,000 (3.8CR)
Entry Fees - 
Win Now - http://2lm.in/tn0Y7f"
0,"Receive Rs.1500* Bonus



GUJ vs LCKW T20 MATCH TODAY



Download MY11CIRCLE App



Win Real Cash w2d.me/1587oou"
0,Dekhien romanchak nayi blockbuster film 420 IPC aaj raat 9baje sirf Rs.99 mein Zeeplex par. Booking ke liye 18003157208 par DishTV RMN se missed call dein. TnC
1,"Your A/c No xx1780 debited by Rs.276.00 on 31-MAR-2022 with UPI RRN:209024457772. A/c Bal is Rs. 15,090.53 CR and AVL Bal is Rs. 14,972.53 CR-MAHABANK"
0,"This cricket season, Play Along & Win exciting rewards everyday with Jio Cricket Play Along! Play Now on https://t.jio/JCPA-SMS T&C Apply"
0,"Congrats 98348126, CHN vs LSG, T20 Match on My11cirlce. Prize Pool - 5,15,00,000 (5.15Crores) Click - http://1kx.in/OI8z3hBZh2a"
0,"100% of daily 2 GB data quota exhausted as on 01-Apr-22 00:04. Jio Number : 9834812916 Daily high speed data quota will be restored on 01-Apr-22 00:36. Now you can continue enjoying high speed data by taking an EMERGENCY DATA VOUCHER and pay later. You can borrow 2 GB in form of data vouchers worth Rs.25 . To get EMERGENCY DATA VOUCHER, click https://www.jio.com/dl/edv (Not applicable on JioPhone).
T&C apply 
To know where you have consumed your data quota, click http://tiny1.jio.com/HelpfulTips"
0,Play along with your favourite team and win prizes worth lakhs with JioCricket Play Along! Play Now on https://t.jio/JCPA-SMS T&C Apply
1,"Your A/c No xx1780 debited by Rs.5,570.00 on 02-APR-2022 with UPI RRN:209220091434. A/c Bal is Rs. 9,678.53 CR and AVL Bal is Rs. 9,560.53 CR-MAHABANK"
0,"Dear 98348126, MUM vs RAJ, Indian T20 League Match on My11cirlce. First Prize - 1,50,00,000 (1.5CR) Click - http://1kx.in/OI8z3hBZh2a"
0,Weekend full of winnings with Jio Cricket Play Along. Participate during the live match and win exciting Prizes. Play Now on https://t.jio/JCPA-SMS T&C Apply
0,"Get Rs.551* bonus per friend!

Invite your friends to play on My11Circle.

Click: bit.ly/InviteMy11"
1,"Your A/c No xx1780 debited by Rs.900.00 on 06-APR-2022 with UPI RRN:209626194987. A/c Bal is Rs. 10,158.53 CR and AVL Bal is Rs. 10,040.53 CR-MAHABANK"
0,Hey! Earn bonus up to Rs.500/- per friend on RummyCircle. Invite your Friends NOW! https://rummycircle.app.link/znZQi3RKW5
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 773.98 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"Hi 98348129XX, GUJ vs DEL T20 Match on MY11circle Prize Pool - 4,80,00,000 (4.8CR) Entry Fees - 49 Win Now - SR7.in/I2FFC-24A3355F4"
0,"Your A/c No xx1780 has been debited by Rs. 1,500.00 on 09-APR-2022 via 00306031/652155XXXXXX7756/209918029695. A/c No xx1780 Bal is Rs. 10,443.53 CR and AVL Bal is Rs. 10,325.53-MAHABANK"
0,Weekend full of winnings with Jio Cricket Play Along. Participate during the live match and win exciting Prizes. Play Now on https://t.jio/JCPA-SMS T&C Apply
0,"Congrats 98348126,
CHN vs PUN T20 Match on MY11circle.
First Prize - 1,50,00,000(1.5Cr)
Entry fees - 49
Create Your Team - http://1kx.in/OI8z3hBZh2a"
0,"Congrats 91983481XX, Rs.1500 Welcome Bonus. HYD vs LSG, T20 Match on My11Circle. Prize Pool - 5,32,00,000 (5.32Cr). Click - http://1kx.in/JdkPgr"
1,"Your A/c No xx1780 debited by Rs.300.00 on 20-APR-2022 with UPI RRN:211054720183. A/c Bal is Rs. 10,125.83 CR and AVL Bal is Rs. 10,007.83 CR-MAHABANK"
0,"Message from YSS:
Thank you for your payment on 31-Mar-2022
Please click below for your receipt:
http://yssi.org/rNGtCx4"
0,Trivia Tuesdays are back with JCPA. Answer questions and stand a chance to win on Jio Cricket Play Along! Play Now on https://t.jio/JCPA-SMS T&C Apply
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.42 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"Beware while dealing based on unsolicited tips through Whatsapp, telegram, SMS, calls, etc. and take an informed decision. Visit https://bit.ly/38A0nIP -NSE"
1,"Your A/c No xx1780 debited by Rs.1.00 on 26-APR-2022 with UPI RRN:211671501923. A/c Bal is Rs. 10,124.83 CR and AVL Bal is Rs. 10,006.83 CR-MAHABANK"
0,Ghari kiti wajta yeun rahla re.. Tu
0,Richu yenar ahe aaj.. 
0,6 wajta
0,7 chya aas pas
0,Are yrr... Papa ani aai le 7-8 vajtat
1,"Your A/c No xx1780 debited by Rs.180.00 on 26-APR-2022 with UPI RRN:211672586533. A/c Bal is Rs. 9,944.83 CR and AVL Bal is Rs. 9,826.83 CR-MAHABANK"
0,Stand a chance to win gold on Jio Cricket Play Along. Participate during the live match by clicking on https://t.jio/JCPA-SMS T&C Apply
0,Lecture madhe aho
0,900 rs send kar bar Google pay la
0,Aahe ka
0,Ho
1,"Your a/c xxxx1780 has been credited by Rs. 1,285.00 on 27-APR-2022 by APB Credit Through PFMS  C042246748999. A/c Bal is Rs. 11,229.83 CR and AVL Bal is Rs. 11,111.83-MAHABANK"
0,Pathavto
0,Pathav bar
0,Argent aahe thod
0,Error yet ahe
0,Tujhya bank cha
1,"Your A/c No xx1780 debited by Rs.1.00 on 28-APR-2022 with UPI RRN:211831507511. A/c Bal is Rs. 11,228.83 CR and AVL Bal is Rs. 11,110.83 CR-MAHABANK"
0,Phone pe
0,Aahe ka
0,Nasel tar 7758810854@ybl ya var kar
1,"Your a/c xxxx1780 has been credited by Rs. 1,285.00 on 06-APR-2022 by APB Credit Through PFMS  C042211349626. A/c Bal is Rs. 11,443.53 CR and AVL Bal is Rs. 11,325.53-MAHABANK"
0,Pathavle
0,Ale ka
0,Ok
0,Thanks
0,"Hey RAJ THAKARE , Your 50% Discount worth Rs.25 is expiring soon! Join KOL vs MI before 7:30pm and win big. Tap here to play - dream11.com/leagues - Dream11"
0,Ho
0,"Congrats 98348126,
KOL vs MUM T20 Match on MY11circle.
First Prize - 2,02,00,000(2.02Cr)
Entry fees - 49
Create Your Team - http://1kx.in/OI8z3hBZh2a"
0,"Hi 98348129XX, KOL vs MUM T20 Match on MY11circle Prize Pool - 5,90,00,000 (5.9CR) Entry Fees - 49 Win Now - SR7.in/I3294-24A3355F4"
1,"Your A/c No xx1780 debited by Rs.199.00 on 28-APR-2022 with UPI RRN:211831538808. A/c Bal is Rs. 11,029.83 CR and AVL Bal is Rs. 10,911.83 CR-MAHABANK"
0,Msg kr bhai
0,Break ala ka
0,Nahi
0,Tu kuth ahe
0,Attendance ali ki msg krjo
0,Mi hostel vr aho
1,"BOM Acct xx1780 credited by Rs. 42,000.00 on  30-APR-2022. AVL Bal Rs. 52,911.83. Doorstep Banking https://doorstepbanks.com/Account/Register -MAHABANK"
0,We will deliver your shipment#39276938116 today. Contactless Delivery no signature will be taken; Please support our courier. Fraud Alert:- Blue Dart is reachable ONLY on 1860 233 1234 or write to us on Customerservice@bluedart.com . Track on http://bluedart.in/?39276938116
1,"Your A/c No xx1780 credited by Rs.20.00 on 01-MAY-2022 with UPI RRN:212138619631. A/c Bal is Rs. 53,049.83 CR and AVL Bal is Rs. 52,931.83 CR-MAHABANK"
0,"Earn High Profit In $tock/Commodity/Currency. Join India's NO#1Auto Robo Trading Advisory. Get Live Proof & Register Click Below

wa.me/918276971369?text=ROBO"
1,"Your A/c No xx1780 debited by Rs.5,000.00 on 02-MAY-2022 with UPI RRN:212230625746. A/c Bal is Rs. 48,049.83 CR and AVL Bal is Rs. 47,931.83 CR-MAHABANK"
0,"IF YOU HAVE ABOVE 50K CAPITAL IN SKT MARKET,GET PROFIT 25K TO 30K,IN A CALL,WE ALSO HANDLE DEMAT ACCOUNT FOR MORE INFO CALL OR WHATSAPP THIS NUMBER-6399475066
"
1,"Your A/c No xx1780 debited by Rs.20.00 on 08-MAY-2022 with UPI RRN:212875408947. A/c Bal is Rs. 46,479.83 CR and AVL Bal is Rs. 46,361.83 CR-MAHABANK"
1,"Your A/c No xx1780 debited by Rs.1,500.00 on 03-MAY-2022 with UPI RRN:212355676442. A/c Bal is Rs. 46,549.83 CR and AVL Bal is Rs. 46,431.83 CR-MAHABANK"
1,"Your A/c No xx1780 debited by Rs.1,000.00 on 08-MAY-2022 with UPI RRN:212877625324. A/c Bal is Rs. 45,479.83 CR and AVL Bal is Rs. 45,361.83 CR-MAHABANK"
1,"Your A/c No xx1780 debited by Rs.100.00 on 04-MAY-2022 with UPI RRN:212487507613. A/c Bal is Rs. 46,449.83 CR and AVL Bal is Rs. 46,331.83 CR-MAHABANK"
1,"Your A/c No xx1780 debited by Rs.326.00 on 12-MAY-2022 with UPI RRN:213214744076. A/c Bal is Rs. 45,153.83 CR and AVL Bal is Rs. 45,035.83 CR-MAHABANK"
1,"Your A/c No xx1780 credited by Rs.50.00 on 06-MAY-2022 with UPI RRN:212629642514. A/c Bal is Rs. 46,499.83 CR and AVL Bal is Rs. 46,381.83 CR-MAHABANK"
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.28 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"DEAR TRADER

TRADE WITH EXPERTS& GET PROFIT
50K
DAILY ONLY 1 SURE LEVEL IN
BANKNIFTY.

1st EARN THEN PAY.INVEST SUB TO 
MKT RISK. 
MORE DET CALL ON  9173242899"
0,"ANGEL ONE LIMITED on 16-04-22 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE"
0,"Dear 98348126, Rs.1500 Welcome Bonus
DEL vs HYD, T20 Match on My11circle
Prize Pool - 4,12,00,000 (4.12Crores)
Entry Fee - 49
Click - http://1kx.in/OI8z3hBZh2a"
0,"50% Daily Data quota used as on 05-May-22 21:21.
Jio Number : 9834812916
Daily Data quota as per plan : 2 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
0,Your order from Yogoda Satsanga is dispatched through Blue Dart Awb# 39276982113 will be delivered by 10-MAY-22.Track us on www.bluedart.com
0,"50% Daily Data quota used as on 14-May-22 17:17.
Jio Number : 9834812916
Daily Data quota as per plan : 2 GB
To know more on how to manage your account through MyJio app, click https://youtu.be/tchuJvIv_9I
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
0,"Enjoy T20 Cricket! Recharge today on Amazon your Jio no. 9834812916 with Rs.2999 (Disney+ Hotstar Mobile Annual subscription, Data 2.5GB/day, Voice Unlimited ,Validity 365 Days) & get daily rewards of upto 300. T&CA. Click https://amazon.in/jio3"
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 737.17 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
1,"Your A/c No xx1780 debited by Rs.23.60 on 14-MAY-2022 with UPI RRN:213485984482. A/c Bal is Rs. 44,730.23 CR and AVL Bal is Rs. 44,612.23 CR-MAHABANK"
1,"Your A/c No xx1780 debited by Rs.400.00 on 13-MAY-2022 with UPI RRN:213391859576. A/c Bal is Rs. 44,753.83 CR and AVL Bal is Rs. 44,635.83 CR-MAHABANK"
0,"You just got Rs.500 MynCash
Combine it with Flat Rs.400 Off | Only on Myntra
Free Shipping @ Summertime Madness Sale
http://smsd.in/b4A2UohOI"
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 741.60 MB out of 2.00 GB/day
SMS: 96 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"90% daily data quota used as on 13-May-22 23:13.
Jio Number : 9834812916
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 2 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans."
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.84 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,Dear Customer! Dekhe Cricket Ka MAHA SANGRAM LIVE HD me! Paaye Star Sports1 Hindi HD sirf Rs19 GST prati mah me. DishTV RMN se 18003157018 pe Missed Call de TnC
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 677.03 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,Your order from Yogoda Satsanga is dispatched through Blue Dart Awb# 39277017102 will be delivered by 20-MAY-22.Track us on www.bluedart.com
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 495.79 MB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
0,"You got Rs.500 MynCash
Combine it with Flat Rs.400 Off + Free Shipping | Only on Myntra
Shop @ Summertime Madness Sale
http://smsd.in/b4Iyguq6Q"
1,"Your A/c No xx1780 debited by Rs.23.60 on 14-MAY-2022 with UPI RRN:213486006374. A/c Bal is Rs. 44,706.63 CR and AVL Bal is Rs. 44,588.63 CR-MAHABANK"
0,"Thanx for applying to jobs @ 2COMS
Visit our career site to chat with us & find matching jobs based on ur skills & exp
https://bit.ly/32E0dj2 - 2COMS"
0,"Call Me Urgent,..............Big movement in market 07567465349 wa.link/ldov7p Bakingo"
0,Make your own squad and win exciting Prizes on Super Squad. Participate now on https://t.jio/SS-SMS T&C Apply
0,"Balance for Jio Number 9834812916: 1) Rs 719-3m-2GB/D Plan: 
Data: 1.28 GB out of 2.00 GB/day
SMS: 100 out of 100/day
Plan expiry: 04 Jun 2022, 12:55 PM
2) Top-Up Balance: Rs.4.65 
For more details, click https://www.jio.com/dl/dashboard_home For anything related to Jio, use HelloJio - your 24X7 virtual assistant. Click  https://www.jio.com/dl/ask_jio"
1,"Your A/c No xx1780 credited by Rs.30.00 on 17-MAY-2022 with UPI RRN:213710137489. A/c Bal is Rs. 44,736.63 CR and AVL Bal is Rs. 44,618.63 CR-MAHABANK"
0,Hii
0,Practical zalyavr call kr MLA 
0, Urgent Abe 
0,Ahe 
0, Perk Che 10 chocolate aaanshil plzzzz
0,MLA khup jast garaj ahe sdhya
